actual,estimate,period,symbol,year,quarter,beat,f1_pup,f2_vup,f3_bothup,f4_average_price
1.07,1.05875,2018-03-31,VRSN,2018,1,1,0.47540983606557374,0.45901639344262296,0.21311475409836064,115.8295081967213
0.96,0.971,2017-12-31,VRSN,2017,4,0,0.5396825396825397,0.4603174603174603,0.25396825396825395,111.61952380952381
1.0,0.9725,2017-09-30,VRSN,2017,3,1,0.6190476190476191,0.5238095238095238,0.30158730158730157,100.6880952380952
1.05,0.9925,2017-06-30,VRSN,2017,2,1,0.47619047619047616,0.5714285714285714,0.2857142857142857,90.31333333333332
0.96,0.942,2017-03-31,VRSN,2017,1,1,0.5967741935483871,0.5483870967741935,0.2903225806451613,83.08548387096776
0.92,0.884,2016-12-31,VRSN,2016,4,1,0.3968253968253968,0.5238095238095238,0.23809523809523808,79.0579365079365
0.93,0.87,2016-09-30,VRSN,2016,3,1,0.421875,0.453125,0.234375,80.22374999999995
0.91,0.8640000000000001,2016-06-30,VRSN,2016,2,1,0.5625,0.390625,0.1875,86.2115625
0.85,0.83086,2016-03-31,VRSN,2016,1,1,0.5573770491803278,0.5081967213114754,0.29508196721311475,81.7129508196721
0.79,0.78186,2015-12-31,VRSN,2015,4,1,0.5625,0.46875,0.265625,83.37499999999999
0.78,0.765,2015-09-30,VRSN,2015,3,1,0.5625,0.5,0.296875,68.12500000000001
0.74,0.745,2015-06-30,VRSN,2015,2,0,0.4444444444444444,0.5238095238095238,0.23809523809523808,64.44150793650793
0.74,0.75429,2015-03-31,VRSN,2015,1,0,0.639344262295082,0.5081967213114754,0.3442622950819672,60.801311475409825
0.7,0.7175699999999999,2014-12-31,VRSN,2014,4,0,0.5,0.515625,0.28125,57.75781249999999
0.7,0.69414,2014-09-30,VRSN,2014,3,1,0.515625,0.46875,0.234375,54.01085937500001
0.68,0.64075,2014-06-30,VRSN,2014,2,1,0.5079365079365079,0.4603174603174603,0.19047619047619047,49.836190476190474
0.64,0.62589,2014-03-31,VRSN,2014,1,1,0.5245901639344263,0.5081967213114754,0.2459016393442623,56.60229508196722
0.58,0.59533,2013-12-31,VRSN,2013,4,0,0.625,0.46875,0.328125,55.05671875
0.59,0.56567,2013-09-30,VRSN,2013,3,1,0.546875,0.46875,0.28125,48.28140625
0.58,0.54769,2013-06-30,VRSN,2013,2,1,0.453125,0.453125,0.234375,46.33157812499999
